X,Y,cat,ID,rues_ori,bati_ori
596318.9,130265.2,512,511,1.813044000000000,1.860071000000000
596493.9,130265.2,513,512,1.820714000000000,1.865385000000000
596668.9,130265.2,514,513,1.828157000000000,1.873412000000000
596843.9,130265.2,515,514,1.834070000000000,1.885672000000000
597018.9,130265.2,516,515,1.835571000000000,1.904821000000000
597193.9,130265.2,517,516,1.824208000000000,1.935453000000000
597368.9,130265.2,518,517,1.762767000000000,1.984064000000000
597543.9,130265.2,519,518,1.401432000000000,2.048267000000000
597718.9,130265.2,520,519,1.612578000000000,2.099730000000000
597893.9,130265.2,521,520,1.935140000000000,2.238695000000000
598068.9,130265.2,522,521,2.137106000000000,2.593226000000000
598243.9,130265.2,523,522,2.537389000000000,2.202531000000000
598418.9,130265.2,524,523,2.554857000000000,2.006245000000000
598593.9,130265.2,525,524,2.307125000000000,1.952682000000000
598768.9,130265.2,526,525,2.056368000000000,1.933782000000000
598943.9,130265.2,527,526,1.904335000000000,1.923769000000000
599118.9,130265.2,528,527,1.599414000000000,1.923640000000000
599293.9,130265.2,529,528,1.491370000000000,1.938258000000000
599468.9,130265.2,530,529,1.403188000000000,1.891967000000000
599643.9,130265.2,531,530,1.336019000000000,1.834760000000000
599818.9,130265.2,532,531,1.290508000000000,1.828660000000000
599993.9,130265.2,533,532,1.316201000000000,1.878698000000000
600168.9,130265.2,534,533,1.440816000000000,1.881104000000000
600343.9,130265.2,535,534,1.556664000000000,1.772060000000000
600518.9,130265.2,536,535,1.419771000000000,1.701639000000000
600693.9,130265.2,537,536,1.481771000000000,1.642469000000000
600868.9,130265.2,538,537,1.478522000000000,1.561965000000000
601043.9,130265.2,539,538,1.433845000000000,1.469013000000000
601218.9,130265.2,540,539,1.878576000000000,1.460056000000000
601393.9,130265.2,541,540,1.741356000000000,1.587068000000000
601568.9,130265.2,542,541,1.338149000000000,1.736612000000000
601743.9,130265.2,543,542,1.413435000000000,1.760723000000000
601918.9,130265.2,544,543,1.403623000000000,1.550228000000000
602093.9,130265.2,545,544,1.365104000000000,1.383144000000000
602268.9,130265.2,546,545,1.366203000000000,1.240009000000000
602443.9,130265.2,547,546,1.356910000000000,1.290872000000000
602618.9,130265.2,548,547,1.302340000000000,1.411908000000000
602793.9,130265.2,549,548,1.367274000000000,1.511518000000000
602968.9,130265.2,550,549,1.478060000000000,1.587014000000000
603143.9,130265.2,551,550,1.542122000000000,1.640918000000000
603318.9,130265.2,552,551,1.575310000000000,1.679802000000000
603493.9,130265.2,553,552,1.595251000000000,1.708615000000000
